date,units,estimated_revenue,year,week_of_year
2012-01-22,200486.0,538877.0317687988,2012,3
2012-01-29,189034.0,505438.2897644043,2012,4
2012-02-05,226986.0,617762.174621582,2012,5
2012-02-12,230819.0,632328.1170501709,2012,6
2012-02-19,209412.0,586903.1361236572,2012,7
2012-02-26,204654.0,563647.8093261719,2012,8
2012-03-04,220850.0,599016.6304321289,2012,9
2012-03-11,235095.0,644405.5035552979,2012,10
2012-03-18,226743.0,614799.8557434082,2012,11
2012-03-25,210949.0,571918.8585205078,2012,12
2012-04-01,209471.0,573162.5066070557,2012,13
2012-04-08,243471.0,641712.4287719727,2012,14
2012-04-15,228127.0,619275.445892334,2012,15
2012-04-22,204877.0,560890.8631896973,2012,16
2012-04-29,201244.0,546941.3898010254,2012,17
2012-05-06,233506.0,626432.6533050537,2012,18
2012-05-13,229733.0,618200.8583679199,2012,19
2012-05-20,229095.0,616327.4647521973,2012,20
2012-05-27,214782.0,578681.185623169,2012,21
2012-06-03,246368.0,652810.9163818359,2012,22
2012-06-10,258576.0,684282.1614227295,2012,23
2012-06-17,266697.0,682262.9971008301,2012,24
2012-06-24,245295.0,637319.8700408936,2012,25
2012-07-01,237358.0,624431.9965362549,2012,26
2012-07-08,266563.0,706452.8003692627,2012,27
2012-07-15,257125.0,689942.34324646,2012,28
2012-07-22,238116.0,632948.143081665,2012,29
2012-07-29,219810.0,591175.3340454102,2012,30
2012-08-05,251490.0,674086.7509918213,2012,31
2012-08-12,263071.0,696003.6212615967,2012,32
2012-08-19,260586.0,693525.6329650879,2012,33
2012-08-26,234119.0,638278.8293457031,2012,34
2012-09-02,239427.0,654313.02003479,2012,35
2012-09-09,265475.0,720750.062713623,2012,36
2012-09-16,253106.0,688482.2896118164,2012,37
2012-09-23,233643.0,638850.817565918,2012,38
2012-09-30,224691.0,621257.0074157715,2012,39
2012-10-07,253466.0,687095.7188873291,2012,40
2012-10-14,245567.0,665138.448928833,2012,41
2012-10-21,218212.0,600430.0759811401,2012,42
2012-10-28,208427.0,571917.3270568848,2012,43
2012-11-04,234825.0,647245.0680389404,2012,44
2012-11-11,246134.0,677729.6886749268,2012,45
2012-11-18,228702.0,635858.8906097412,2012,46
2012-11-25,202892.0,561196.0838623047,2012,47
2012-12-02,212203.0,597056.108215332,2012,48
2012-12-09,244157.0,679896.2750396729,2012,49
2012-12-16,235419.0,661058.4104156494,2012,50
2012-12-23,235783.0,653572.9249420166,2012,51
2012-12-30,196621.0,539141.8194475174,2012,52
2013-01-06,248571.0,670061.7868347168,2013,1
2013-01-13,244623.0,679170.0728607178,2013,2
2013-01-20,230807.0,653159.6033325195,2013,3
2013-01-27,215976.0,608370.8475494385,2013,4
2013-02-03,235285.0,649277.6442184448,2013,5
2013-02-10,247569.0,701067.8846435547,2013,6
2013-02-17,269588.0,733922.3551940918,2013,7
2013-02-24,244231.0,672978.2612457275,2013,8
2013-03-03,255076.0,710233.3688964844,2013,9
2013-03-10,252140.0,694013.464767456,2013,10
2013-03-17,258928.0,719090.8535614014,2013,11
2013-03-24,233896.0,658848.3011779785,2013,12
2013-03-31,235136.0,644995.965637207,2013,13
2013-04-07,268253.0,717353.004119873,2013,14
2013-04-14,256617.0,695437.4423217773,2013,15
2013-04-21,236047.0,651447.7769317627,2013,16
2013-04-28,217530.0,610988.0887908936,2013,17
2013-05-05,239653.0,659045.2765350342,2013,18
2013-05-12,247597.0,683100.5861816406,2013,19
2013-05-19,252227.0,693349.2333984375,2013,20
2013-05-26,234042.0,638595.0823516846,2013,21
2013-06-02,249063.0,686500.2052459717,2013,22
2013-06-09,273544.0,737727.9754638672,2013,23
2013-06-16,265290.0,714377.3042297363,2013,24
2013-06-23,250390.0,674399.2424163818,2013,25
2013-06-30,254059.0,675113.8236846924,2013,26
2013-07-07,284003.0,755316.799911499,2013,27
2013-07-14,278789.0,749744.2057800293,2013,28
2013-07-21,257709.0,701336.2187194824,2013,29
2013-07-28,245786.0,663179.8935241699,2013,30
2013-08-04,263696.0,710909.4647216797,2013,31
2013-08-11,278939.0,745186.241607666,2013,32
2013-08-18,272622.0,732637.8961639404,2013,33
2013-08-25,261814.0,690259.1756744385,2013,34
2013-09-01,265663.0,698447.1535644531,2013,35
2013-09-08,291648.0,769468.3977966309,2013,36
2013-09-15,288497.0,764517.7167663574,2013,37
2013-09-22,259942.0,695218.1794433594,2013,38
2013-09-29,248794.0,661953.5144500732,2013,39
2013-10-06,276737.0,752055.490814209,2013,40
2013-10-13,271329.0,758411.2345581055,2013,41
2013-10-20,252996.0,708470.4684753418,2013,42
2013-10-27,236597.0,667506.4526672363,2013,43
2013-11-03,254950.0,702234.2380065918,2013,44
2013-11-10,257124.0,708787.8842315674,2013,45
2013-11-17,250345.0,692597.1473846436,2013,46
2013-11-24,228602.0,643079.0362854004,2013,47
2013-12-01,211722.0,595868.555480957,2013,48
2013-12-08,263554.0,709447.9653320312,2013,49
2013-12-15,248443.0,696013.6621246338,2013,50
2013-12-22,234427.0,665019.1503601074,2013,51
2013-12-29,202819.0,565312.1076593399,2013,52
2014-01-05,252390.0,696706.7917022705,2014,1
2014-01-12,256956.0,709400.2153778076,2014,2
2014-01-19,245606.0,673587.4221496582,2014,3
2014-01-26,226615.0,635125.9258422852,2014,4
2014-02-02,231779.0,639256.0078277588,2014,5
2014-02-09,261339.0,726341.3750610352,2014,6
2014-02-16,263608.0,746962.0845489502,2014,7
2014-02-23,244622.0,698213.7777557373,2014,8
2014-03-02,243234.0,703131.2914123535,2014,9
2014-03-09,259646.0,737450.9178466797,2014,10
2014-03-16,267129.0,767860.1812286377,2014,11
2014-03-23,239186.0,687384.8677978516,2014,12
2014-03-30,234800.0,674045.2552337646,2014,13
2014-04-06,265934.0,749585.0535583496,2014,14
2014-04-13,270766.0,756188.6749267578,2014,15
2014-04-20,265226.0,748641.616607666,2014,16
2014-04-27,242777.0,698835.9243011475,2014,17
2014-05-04,254747.0,728048.6352539062,2014,18
2014-05-11,250782.0,721741.0034790039,2014,19
2014-05-18,255733.0,738285.1714019775,2014,20
2014-05-25,229485.0,667176.7517089844,2014,21
2014-06-01,237203.0,692440.403717041,2014,22
2014-06-08,271306.0,771490.0795135498,2014,23
2014-06-15,267469.0,754064.9769744873,2014,24
2014-06-22,257010.0,724023.9185638428,2014,25
2014-06-29,236195.0,666194.4164276123,2014,26
2014-07-06,280950.0,782167.4749298096,2014,27
2014-07-13,278100.0,788327.751083374,2014,28
2014-07-20,259155.0,725975.1714172363,2014,29
2014-07-27,241497.0,672779.6335144043,2014,30
2014-08-03,263223.0,739108.1497344971,2014,31
2014-08-10,268648.0,740012.3069458008,2014,32
2014-08-17,271235.0,752743.5601348877,2014,33
2014-08-24,260816.0,741185.8744049072,2014,34
2014-08-31,245691.0,706993.788192749,2014,35
2014-09-07,274371.0,786992.4205780029,2014,36
2014-09-14,267704.0,779601.4265289307,2014,37
2014-09-21,248554.0,731131.6257019043,2014,38
2014-09-28,236322.0,693297.3938293457,2014,39
2014-10-05,267710.0,798092.1870422363,2014,40
2014-10-12,264090.0,799680.2966308594,2014,41
2014-10-19,250778.0,769557.9282836914,2014,42
2014-10-26,231772.0,711950.4636535645,2014,43
2014-11-02,240512.0,736690.8037109375,2014,44
2014-11-09,261019.0,799028.741317749,2014,45
2014-11-16,248876.0,754184.5023345947,2014,46
2014-11-23,232014.0,714673.4446411133,2014,47
2014-11-30,218848.0,657590.2472839355,2014,48
2014-12-07,252300.0,779679.4062042236,2014,49
2014-12-14,239338.0,742434.1851959229,2014,50
2014-12-21,233325.0,727060.3733215332,2014,51
2014-12-28,195632.0,606158.4659581184,2014,52
2015-01-04,239674.0,748819.9421844482,2015,1
2015-01-11,248964.0,768132.2150268555,2015,2
2015-01-18,250802.0,757867.5498809814,2015,3
2015-01-25,233704.0,704633.1829986572,2015,4
2015-02-01,243213.0,723174.7691497803,2015,5
2015-02-08,278414.0,831246.7002563477,2015,6
2015-02-15,271462.0,830661.1705322266,2015,7
2015-02-22,244144.0,762482.765548706,2015,8
2015-03-01,242658.0,766326.6488189697,2015,9
2015-03-08,261923.0,826550.6364440918,2015,10
2015-03-15,266820.0,831903.9958953857,2015,11
2015-03-22,245218.0,769258.3379364014,2015,12
2015-03-29,237725.0,743707.8726882935,2015,13
2015-04-05,265895.0,819779.3825378418,2015,14
2015-04-12,268017.0,843182.7797851562,2015,15
2015-04-19,254146.0,793943.4319763184,2015,16
2015-04-26,245812.0,774390.9991912842,2015,17
2015-05-03,259544.0,799367.705581665,2015,18
2015-05-10,264598.0,816487.9333343506,2015,19
2015-05-17,264557.0,831466.0504150391,2015,20
2015-05-24,240394.0,759995.7710876465,2015,21
2015-05-31,246335.0,772527.2228088379,2015,22
2015-06-07,284812.0,854775.6661682129,2015,23
2015-06-14,282983.0,840480.0685119629,2015,24
2015-06-21,268678.0,796292.1602783203,2015,25
2015-06-28,253019.0,754357.3867340088,2015,26
2015-07-05,281203.0,833755.1339569092,2015,27
2015-07-12,290046.0,871974.7004241943,2015,28
2015-07-19,286753.0,853366.0300445557,2015,29
2015-07-26,264513.0,789816.0234069824,2015,30
2015-08-02,276430.0,820723.5375976562,2015,31
2015-08-09,299194.0,897495.4315795898,2015,32
2015-08-16,287917.0,862280.2910003662,2015,33
2015-08-23,270219.0,820124.3123321533,2015,34
2015-08-30,260435.0,786862.6220855713,2015,35
2015-09-06,282054.0,836166.2936248779,2015,36
2015-09-13,297455.0,884152.1750946045,2015,37
2015-09-20,280086.0,843956.5973052979,2015,38
2015-09-27,269056.0,818872.0005111694,2015,39
2015-10-04,285782.0,868665.2349853516,2015,40
2015-10-11,297121.0,905380.873123169,2015,41
2015-10-18,283721.0,878208.4738464355,2015,42
2015-10-25,262793.0,813916.4122924805,2015,43
2015-11-01,262161.0,819196.091720581,2015,44
2015-11-08,276604.0,877394.9477081299,2015,45
2015-11-15,270161.0,857092.7595214844,2015,46
2015-11-22,255509.0,813181.709564209,2015,47
2015-11-29,232692.0,726945.1356811523,2015,48
2015-12-06,272222.0,873179.6629638672,2015,49
2015-12-13,261621.0,836307.0564575195,2015,50
2015-12-20,264484.0,849294.9093322754,2015,51
2015-12-27,220882.0,703892.3556736708,2015,52
2016-01-03,260771.0,835235.1341247559,2016,53
2016-01-10,279813.0,879142.9132995605,2016,1
2016-01-17,279664.0,872819.2854614258,2016,2
2016-01-24,267857.0,837662.2869720459,2016,3
2016-01-31,266224.0,838399.2061004639,2016,4
2016-02-07,293532.0,929833.828338623,2016,5
2016-02-14,305528.0,965571.5320587158,2016,6
2016-02-21,300165.0,939523.1281890869,2016,7
2016-02-28,276443.0,868295.1848144531,2016,8
2016-03-06,302577.0,949475.842376709,2016,9
2016-03-13,298607.0,929569.1585693359,2016,10
2016-03-20,287425.0,897281.0785827637,2016,11
2016-03-27,287458.0,889062.4491729736,2016,12
2016-04-03,291571.0,920690.9837646484,2016,13
2016-04-10,310767.0,982497.8549194336,2016,14
2016-04-17,296009.0,936759.606262207,2016,15
2016-04-24,285279.0,908228.2109527588,2016,16
2016-05-01,289814.0,920585.2718658447,2016,17
2016-05-08,311512.0,981513.5444030762,2016,18
2016-05-15,326832.0,1036101.2644042969,2016,19
2016-05-22,303606.0,962772.3116760254,2016,20
